Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.754914,0,0,0,0,-0.236811,1.54625,-2.17447,0.932337,0.1,0,0,0,-6.39684,19.1237,-20.2953,7.48056,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.889224,0.03,0.112575,0.0496296,-0.0149584,0.813334,-2.10256,1.91107,-0.599621,-2.1147e-05,-0.11726,0.0445376,0.0733554,1.20053,-2.9616,2.50253,-0.737368,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.791954,0.179588,0.179816,0.00700406,0.00545283,1.27689,-4.14929,4.52784,-1.67075,-0.000408111,0.0501764,-0.0269669,-0.018655,-0.965645,2.6922,-2.62222,0.889653,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860851,0.32941,0.155072,0.00175236,0.00395196,0.794832,-2.20655,2.12714,-0.703168,-0.00112443,-0.0160313,0.0148816,0.00672953,0.378091,-1.10075,1.06166,-0.348672,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.645737,0.479404,0.166747,0.011146,0.013276,0.0702991,-2.04445,3.83769,-2.02744,-0.00243789,-0.015002,-0.0247538,-0.00479159,-6.62256,24.1351,-30.7423,13.4798,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84075,0.5613,0.0524437,-0.0634379,-0.0013544,-1.77791,4.96704,-4.81735,1.60871,-0.0631932,-0.0723001,-0.0124048,0.00589198,-5.64717,16.1198,-15.9746,5.42739,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.783122,0.534255,-0.0394336,-0.0018215,0.00409298,-3.83797,11.731,-12.473,4.54905,-0.209568,-0.0791734,0.00398686,0.00078857,-6.86643,21.1086,-22.5063,8.22216,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.787759,0.460647,-0.0449394,-0.00530606,-0.000410844,-4.91192,14.958,-15.8112,5.73079,-0.340063,-0.0650231,0.00207423,-0.0010577,-6.05406,18.4288,-19.4866,7.0659,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820112,0.368223,-0.0501149,0.00304445,0.000216017,-3.69626,10.7889,-10.9528,3.81417,-0.457945,-0.0664983,-0.00153232,0.000420408,-5.17963,15.1862,-15.4443,5.38321,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.799898,0.279107,-0.0542483,-0.00654679,-0.00114001,-5.89005,17.588,-18.2662,6.51058,-0.578184,-0.0607944,0.00534121,0.00116919,-4.19545,12.6994,-13.2997,4.76691,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
